Usia ,USIA,Jenis Kelamin,KELAMIN,Pekerjaan ,Pendidikan ,Pendapatan ,Kepemilikan Kendaraan,PENGALAMAN MENGGUNAKAN SOL,PENGALAMAN,Pengalaman/ Frekuensi Berkunjung (1 Tahun) ,Asal Perjalanan,Alasan Berkunjung,Tujuan Perjalanan ,Moda Transportasi Sering Digunakan ,Cara Mencapai Moda Transportasi ,Alasan Menggunakan Moda Transportasi ,X11,X12,X13,X14,X21,X22,X23,X24,X31,X32,X33,X41,X42,X43,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22
36 - 45 Tahun,3,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,S1,2 – 5 Juta,Memiliki,Belum,2,1 – 4x sebulan,Solo Raya,Bekerja,Ngaglik,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kenyamanan, Kemudahan",4,4,4,4,4,4,4,4,3,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5
36 - 45 Tahun,3,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo, Wisata kuliner lainnya",Sewa motor,"Telpon/ WA/ SMS, lainnya","Biaya Murah, Hemat biaya karena tujuan tdk cuma 1tempat",1,2,1,3,5,5,5,5,4,4,1,3,3,2,4,3,3,3,3,3,4,4,4,3,3,4
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,5 – 8 Juta,Memiliki,Belum,2,1 – 4x sebulan,Jakarta dan sekitarnya,Pendidikan,"Kawasan Malioboro, Godean","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Kenyamanan, Kemudahan",2,2,3,4,5,5,3,4,3,4,4,3,2,3,4,4,4,4,4,3,4,3,3,3,3,4
36 - 45 Tahun,3,Laki-laki,1,Pelajar/Mahasiswa,S1,"< 1,9 Juta",Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Kemudahan",2,4,4,5,5,5,5,3,5,5,5,5,4,4,5,5,5,5,5,5,5,5,3,3,4,5
36 - 45 Tahun,3,Perempuan,2,Pelajar/Mahasiswa,S1,2 – 5 Juta,Memiliki,Belum,2,7 – 12x setahun,Jawa Tengah,Pendidikan,"Kawasan Malioboro, Area Tugu Yogyakarta (Pasar Kranggan, dll), UGM",Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Kesehatan, Ramah Lingkungan, Kemudahan",2,2,4,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,> 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Pendidikan,"Kawasan Malioboro, Hotel/ Penginapan, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Keamanan, Kenyamanan, Kemudahan",3,4,3,4,4,4,3,3,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,> 8 Juta,Memiliki,Belum,2,1 – 4x sebulan,Jakarta dan sekitarnya,Pendidikan,KOTABARU,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Keamanan, Kenyamanan, Kemudahan",3,2,2,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,3,5
36 - 45 Tahun,3,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,S1,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,Universitas Sanata Dharma,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Keamanan, Kenyamanan, Kemudahan",2,4,2,4,2,2,4,2,3,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,5
12 - 25 Tahun,1,Perempuan,2,Pelajar/Mahasiswa,S1,"< 1,9 Juta",Memiliki,Belum,2,1 – 6 x setahun,Jawa Barat,Pendidikan,Kos,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Kemudahan",2,3,4,2,4,4,4,4,4,4,4,3,3,3,4,4,5,5,5,5,5,4,4,3,3,3
46 - 54 Tahun,4,Perempuan,2,Pensiunan,SMA/ SMK,2 – 5 Juta,Tidak Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Pasar Beringharjo",Berjalan Kaki,Berjalan Kaki,Kesehatan,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,4
12 - 25 Tahun,1,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S1,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,Rumah Gamping,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),"Telpon/ WA/ SMS, lainnya","Keamanan, Kenyamanan, Kemudahan",2,4,4,2,5,5,5,4,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,4,3,5
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Bekerja,"Kawasan Malioboro, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Kemudahan",4,3,4,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
36 - 45 Tahun,3,Perempuan,2,ASN/TNI/Polri,S2,2 – 5 Juta,Tidak Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Bekerja,"Kawasan Malioboro, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo, Hotel/ Penginapan","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan",2,4,2,4,5,5,5,4,3,4,3,5,3,3,4,4,4,4,4,5,5,5,3,3,3,5
36 - 45 Tahun,3,Perempuan,2,ASN/TNI/Polri,S1,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Pantai","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Kesehatan, Kenyamanan, Kemudahan",4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
36 - 45 Tahun,3,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S1,2 – 5 Juta,Memiliki,Pernah,1,1 – 4x sebulan,Solo Raya,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,Berjalan Kaki,Berjalan Kaki,Ramah Lingkungan,5,5,3,5,3,3,4,2,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5
36 - 45 Tahun,3,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,S1,2 – 5 Juta,Memiliki,Belum,2,7 – 12x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Tugu Yogyakarta (Pasar Kranggan, dll)",Berjalan Kaki,Berjalan Kaki,"Ramah Lingkungan, Pengalaman menarik, Kemudahan",5,5,5,5,3,3,2,1,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5
36 - 45 Tahun,3,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,"< 1,9 Juta",Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,Berjalan Kaki,Berjalan Kaki,Kenyamanan,4,3,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12 - 25 Tahun,1,Laki-laki,1,Pegawai Lepas/ Kontrak,SMA/ SMK,"< 1,9 Juta",Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta, Pasar Beringharjo","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Keamanan, Kenyamanan, Kemudahan",4,3,4,4,4,4,3,3,4,4,3,3,3,3,5,3,4,4,4,4,5,4,4,3,3,5
36 - 45 Tahun,3,Perempuan,2,ASN/TNI/Polri,D1 / D2/ D3,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Angkutan Umum (Bus Trans Jogja, Damri, dll)",Berjalan Kaki,"Biaya Murah, Kesehatan, Ramah Lingkungan, Kenyamanan",4,3,3,4,4,4,2,4,3,4,4,4,3,3,5,5,5,5,5,5,5,5,5,4,4,5
12 - 25 Tahun,1,Laki-laki,1,Pelajar/Mahasiswa,S1,"< 1,9 Juta",Memiliki,Belum,2,1 – 6 x setahun,Jawa Tengah,Pendidikan,"Kasihan, Bantul","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kemudahan",2,1,3,4,5,5,5,5,1,1,3,2,2,2,5,5,5,5,5,5,4,5,3,3,3,5
36 - 45 Tahun,3,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,S1,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Mengunjungi Keluarga,"Hotel/ Penginapan, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Kenyamanan, Kemudahan",4,4,4,2,3,4,3,3,3,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
12 - 25 Tahun,1,Laki-laki,1,Pelajar/Mahasiswa,SMA/ SMK,"< 1,9 Juta",Memiliki,Belum,2,1 – 6 x setahun,Jawa Tengah,Pendidikan,Kawasan Malioboro,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),"Telpon/ WA/ SMS, lainnya","Biaya Murah, Keamanan, Kenyamanan",2,3,3,2,4,3,5,3,4,4,5,5,3,3,5,5,5,4,5,5,5,5,5,3,3,4
12 - 25 Tahun,1,Laki-laki,1,Pelajar/Mahasiswa,SMA/ SMK,"< 1,9 Juta",Tidak Memiliki,Belum,2,1 – 6 x setahun,Jawa Tengah,Wisata/ Rekreasi/ Kuliner,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Kemudahan",3,4,3,3,3,2,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,> 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jawa Tengah,Pendidikan,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Kenyamanan, Kemudahan",1,1,1,5,5,5,5,5,4,4,4,4,2,3,5,5,5,5,5,5,5,5,4,4,3,4
36 - 45 Tahun,3,Laki-laki,1,Pelajar/Mahasiswa,S1,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Timur,Pendidikan,Mantrijeron ,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Biaya Murah, Kemudahan",3,3,3,5,5,5,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4
36 - 45 Tahun,3,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,"< 1,9 Juta",Memiliki,Belum,2,2 - 7x seminggu,Solo Raya,"Periksa gigi, dan mengunjungi keluarga ","Kawasan Malioboro, Rumah sakit gigi","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Kemudahan",3,4,5,5,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3,4
36 - 45 Tahun,3,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S2,> 8 Juta,Memiliki,Belum,2,7 – 12x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kemudahan",1,1,2,3,5,5,5,5,3,3,3,1,1,1,4,4,3,3,3,3,3,3,3,3,3,3
36 - 45 Tahun,3,Laki-laki,1,Pensiunan,SMA/ SMK,"< 1,9 Juta",Memiliki,Belum,2,1 – 4x sebulan,Solo Raya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kenyamanan, Kemudahan",5,3,2,5,2,4,2,3,4,3,4,2,4,3,4,3,2,5,4,4,5,4,4,4,5,4
36 - 45 Tahun,3,Perempuan,2,ASN/TNI/Polri,S2,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,Berjalan Kaki,Berjalan Kaki,Pengalaman menarik,3,2,3,4,5,5,4,5,4,4,4,5,3,5,5,5,5,4,4,5,5,4,4,4,3,5
